Index,AARatio,Rattus_norvegicus,Chlamydomonas_reinhardtii,Glycine_max,Bombyx_mori,Aedes_aegypti,Salmo_salar,Arabidopsis_thaliana,Triticum_aestivum,Mus_musculus,Apis_mellifera,Gallus_gallus,Fusarium,Kluveromyces,Cicer_arietinum,Solanum_tuberosum,Citrus_sinensis,Saccharomyces_cerevisiae,Zea_mays,Neurospora_crassa,Oncorhynchus_mykiss,Bacteroides_fragilis,Escherichia_coli
11,Phe,0.312430682,0.1639223336372934,0.042861817,0.011297076509935545,0.16471851204189172,0.037790539078232925,0.3098648478877978,0.03365268,0.28323511138105334,0.15535795536271785,0.3040389223325132,0.12753179224950817,0.5238919734646079,0.010798664,0.007191412,0.082034291,1.0615672293131668,0.1519310645913145,0.26104573596236835,0.082254728,0.356602628,0.46481712582201073
12,His,0.20084970142276848,0.10438688644930313,0.021703982664329775,0.005723033,0.093956937,0.022070688818369287,0.1579523161656328,0.018425170889841923,0.18515885256573575,0.081520944,0.1924099315338103,0.080694264,0.27130376865987876,0.005629485,0.003049673,0.042262483991688644,0.4951719041307643,0.097894992,0.17307347639365805,0.050141334,0.15212849996833697,0.3028962675528587
13,Ile,0.3860087371410443,0.18411166806383594,0.057951118,0.015521978,0.22979376334552643,0.053744689564573095,0.39474860061725614,0.044502957,0.34652445348811056,0.28223625121324064,0.39287769503651176,0.17436191208251528,0.7636498600023619,0.016478431,0.010990448,0.10735944276887945,1.4543790897228714,0.19155887832831792,0.34870414707566366,0.10484927548179564,0.5793293106406958,0.7495401364705375
14,Lys,0.5779751820041351,0.2892571904681624,0.077078592,0.018699989782086087,0.30965681782059884,0.1102499440121484,0.522826121,0.061636196,0.5187532231551586,0.31530794425314956,0.5730571916697683,0.22200726649368735,0.9844172744529199,0.021725380403829594,0.016663073,0.14777404431299596,1.661111473167126,0.26321183641024054,0.4625495861909067,0.14105286259597885,0.602493984,0.650016033
15,Leu,0.8233525880320416,0.4933014033414518,0.093922353,0.023112683257235193,0.38068129099389847,0.097832874,0.6891934357824483,0.077718722,0.761036223,0.3554073190628736,0.8013514057192299,0.3043275525903275,1.2296414912641813,0.025579291247091157,0.01670222,0.1818524983369132,2.2183375099437073,0.3865079693013762,0.65160894,0.20031151460088634,0.7469404087265799,1.350378883089505
16,Met,0.20302865617537572,0.12753503197017166,0.022711582650135304,0.005802971,0.10781053894950579,0.027069204240068197,0.18492982213095505,0.021194497826080932,0.18809028127350025,0.10090485826997367,0.20140489968100003,0.078196338,0.25567490403136217,0.006363764,0.004558785,0.048448682,0.499283503,0.1017767614066619,0.16788611126559974,0.057397858,0.22746042852721052,0.3633485374139093
17,Thr,0.4392685350260366,0.2672556277458193,0.056100277,0.016494077,0.22390827500397437,0.061070629,0.3867313559032882,0.046984859016960485,0.40163840115733734,0.21584037485724872,0.4183322446661151,0.20658806994801907,0.7129839996915582,0.015337954,0.011000007619102954,0.10728994949067126,1.289798303732515,0.20435642508660354,0.4551154122862053,0.11486251742895519,0.4402622856148008,0.6660252357961699
18,Val,0.5254035855537054,0.3798323963258935,0.076169389,0.021538850573860544,0.2728383746034338,0.075385326,0.5105137878143581,0.061863073912702446,0.4765173441363761,0.23696363973783055,0.5095444037592183,0.22112435226693974,0.7566462862507696,0.021426926,0.013642980292357476,0.1440464999342029,1.2430487215530526,0.28655122172088254,0.4721526120854427,0.14305460683746618,0.5265303696832629,0.8739535817653189
19,Trp,0.09738896,0.061137134,0.010308913,0.002740963,0.042882134,0.008821418,0.08456116,0.009147733,0.086934148,0.041073181,0.092080794,0.046263448,0.12954239276837112,0.00270489,0.001597948,0.021675645,0.23284443152672032,0.046495126,0.096162937,0.023412432574227187,0.08299829,0.1787667622483552
20,Tyr,0.23500118847041548,0.1324806992030768,0.030920674689196195,0.010042076342011238,0.1311689835766717,0.030678250252286612,0.21001008991108275,0.024438201,0.21240471536172228,0.13697821178471256,0.2349727503488277,0.096341528,0.40786036053669994,0.008464802,0.005237595,0.05924731,0.7534275406003971,0.11116408573501516,0.19906208835737838,0.06369196,0.3366728364217832,0.3465978988363313
